disbiome_disease	meddra_id	mondo_id	mondo_label	mesh_ids	match_method	confidence	status	meddra_corroborates	ambiguous	n_experiments
Crohn's Disease	10011401	MONDO:0005011	Crohn disease	C536215|D003424	mondo_exact_synonym	0.95	confirmed			481
Colorectal cancer	10061451	MONDO:0005575	colorectal cancer		mondo_label	1.0	confirmed			377
Parkinson's Disease	10061536	MONDO:0005180	Parkinson disease	D010300	mondo_exact_synonym	0.95	confirmed			287
periodontitis	10034539	MONDO:0005076	periodontitis	D010518	mondo_label	1.0	confirmed			287
Obesity	10029883	MONDO:0011122	obesity disorder		mondo_exact_synonym	0.95	confirmed			267
Type 2 Diabetes	10067585	MONDO:0005148	type 2 diabetes mellitus	D003924	mondo_exact_synonym	0.95	confirmed			246
Caries	10012318	MONDO:0005276	dental caries	D003731	token_subset_narrower	0.75	review			243
Ulcerative Colitis	10009900	MONDO:0005101	ulcerative colitis	D003093	mondo_label	1.0	confirmed			220
HIV infection	10000807	MONDO:0005109	HIV infectious disease	D015658	mondo_exact_synonym	0.95	confirmed			206
Cirrhosis	10019641	MONDO:0005155	cirrhosis of liver	D008103	mondo_exact_synonym	0.95	confirmed			188
Cystic Fibrosis	10011762	MONDO:0009061	cystic fibrosis	D003550	mondo_label	1.0	confirmed	yes		173
Irritable Bowel Syndrome	10023003	MONDO:0005052	irritable bowel syndrome	D043183	mondo_label	1.0	confirmed			166
Autism spectrum disorders	10063844	MONDO:0005260	autism	D001321	token_subset_broader	0.75	review			156
Psoriasis	10037153	MONDO:0005083	psoriasis	D011565	mondo_label	1.0	confirmed			147
Autism	10080683	MONDO:0005260	autism	D001321	mondo_label	1.0	confirmed			136
Chronic kidney disease	10064848	MONDO:0005300	chronic kidney disease	D007676	mondo_label	1.0	confirmed			134
Asthma	10003553	MONDO:0004979	asthma	D001249	mondo_label	1.0	confirmed			133
Smoking	10064066				UNMAPPED	0.0	unmapped			129
Non-alcoholic fatty liver disease	10082249	MONDO:0013209	metabolic dysfunction-associated steatotic liver disease	D065626	mondo_exact_synonym	0.95	confirmed			117
Bacterial vaginosis	10004055	MONDO:0005316	bacterial vaginosis	D016585	mondo_label	1.0	confirmed			115
Rheumatoid Arthritis	10039073	MONDO:0008383	rheumatoid arthritis	D001172	mondo_label	1.0	confirmed			115
Schizophrenia	10039626	MONDO:0005090	schizophrenia		mondo_label	1.0	confirmed			115
Chronic Obstructive Pulmonary Disease	10009033	MONDO:0005002	chronic obstructive pulmonary disease	D029424	mondo_label	1.0	confirmed			113
